Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Current u.s state of residence,Harmful content,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6699837e4e717c2b9a9e3931,6650b71e7ab44ddbe28c1db0,APPROVED,Not Applicable,2024-07-18T21:05:12.109000Z,2024-07-18T21:13:36.350000Z,2024-07-23T16:27:11.764000Z,2024-07-18T21:13:37.024505Z,505,CVWBBA5S,8,English,Pennsylvania (PA),Yes,Republican,29,Female,White,United States,United States,United States,English,No,Full-Time
66998441727a3072c5ada015,662c7cce4d3e84ac2f284706,APPROVED,Not Applicable,2024-07-18T21:08:23.199000Z,2024-07-18T21:22:57.280000Z,2024-07-23T16:20:48.478000Z,2024-07-18T21:24:51.864753Z,875,CVWBBA5S,5,English,California (CA),Yes,Republican,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
669985271903061c9ee6d604,667d45b04d01ecea845626a0,APPROVED,Not Applicable,2024-07-18T21:12:26.643000Z,2024-07-18T22:05:09.147000Z,2024-07-23T14:25:20.869000Z,2024-07-18T22:05:09.862051Z,3163,CVWBBA5S,4,English,California (CA),Yes,Republican,42,Female,White,United States,United States,United States,English,No,Full-Time
6699858f202b16ae8615cf12,6560334ee220887674bb0e13,APPROVED,Not Applicable,2024-07-18T21:13:57.214000Z,2024-07-18T21:37:39.675000Z,2024-07-23T14:25:23.799000Z,2024-07-18T21:40:05.539086Z,1423,CVWBBA5S,72,"English, Spanish",Texas (TX),Yes,Republican,31,Male,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
